delta_wave_intensity,theta_wave_intensity,alpha_wave_intensity,beta_wave_intensity,gamma_wave_intensity,delta_wave_entropy,theta_wave_entropy,alpha_wave_entropy,beta_wave_entropy,gamma_wave_entropy,,emotion
0.5,8,13,13,45,4,8,13,30,45,,Anger
4,4,8,30,30,4,8,13,20,45,,Anger
0.5,6,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,4,8,8,27,30,,Anger
0.5,6,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,37,,Anger
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,8,13,30,30,4,4,8,30,45,,Happy
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
4,8,13,30,30,0.5,4,8,30,30,,Sad
0.5,4,8,13,30,4,8,8,30,30,,Anger
4,4,8,13,30,4,4,13,13,30,,Happy
4,8,13,24,45,4,8,13,30,30,,Anger
4,8,13,30,30,4,8,13,30,30,,Sad
0.5,4,8,13,45,4,4,8,13,45,,Anger
0.5,8,13,13,39,4,8,13,13,45,,Neutral
4,8,13,15,30,4,8,8,30,45,,Happy
4,8,13,30,45,4,4,13,13,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,8,13,45,0.5,4,8,13,30,,Happy
4,4,8,22,44,0.5,8,8,16,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,29,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,4,4,13,13,30,,Anger
0.5,8,13,30,30,4,8,8,13,45,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,30,45,,Anger
0.5,4,13,13,45,4,8,8,30,44,,Anger
0.5,4,8,13,30,4,8,8,13,45,,Anger
4,4,8,15,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,8,13,30,45,4,4,13,13,45,,Happy
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,8,13,23,45,0.5,4,13,30,45,,Happy
3,4,8,13,30,0.5,8,13,22,30,,Anger
0.5,4,8,13,30,0.5,4,8,25,30,,Anger
4,8,13,30,30,4,4,8,30,30,,Sad
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,13,30,0.5,8,13,30,30,,Anger
4,8,13,30,30,0.5,4,8,13,30,,Anger
4,4,10,30,30,4,8,13,30,45,,Anger
4,7,13,30,30,0.5,8,13,30,30,,Sad
4,8,13,30,45,4,8,13,30,45,,Anger
4,8,13,30,30,4,8,13,30,30,,Sad
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,45,0.5,4,13,13,30,,Sad
4,4,8,23,30,4,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
4,4,8,30,30,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,4,4,13,13,30,,Happy
4,8,13,30,30,0.5,8,13,30,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,45,4,8,13,30,45,,Anger
4,8,13,13,30,4,4,9,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,39,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,30,30,0.5,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,11,30,30,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,26,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,13,13,45,4,4,8,13,30,,Sad
4,8,13,14,30,0.5,4,8,13,45,,Anger
4,4,8,30,30,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,30,45,,Anger
4,5,8,15,30,3,8,8,29,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,40,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,45,0.5,8,13,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,37,,Neutral
4,4,8,22,45,0.5,4,13,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,8,13,44,,Sad
4,4,13,30,45,2,8,13,13,30,,Sad
0.5,4,8,13,30,4,8,13,13,30,,Anger
4,8,13,30,45,4,8,8,30,30,,Happy
4,4,8,30,30,0.5,4,13,13,30,,Anger
4,4,8,30,45,4,8,13,13,30,,Happy
0.5,8,13,13,30,4,4,13,13,37,,Neutral
4,4,8,30,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,30,4,8,8,13,30,,Anger
4,4,8,30,45,4,4,13,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,4,8,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,8,13,30,,Happy
4,4,8,30,30,0.5,8,13,30,30,,Anger
4,8,13,13,45,0.5,4,13,13,45,,Neutral
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,0.5,4,8,13,45,,Anger
0.5,8,13,13,30,0.5,8,13,30,45,,Anger
4,4,8,13,45,4,4,13,30,30,,Anger
0.5,8,13,13,45,4,4,13,13,34,,Neutral
4,4,8,30,43,4,8,13,13,30,,Happy
4,8,13,30,40,4,8,8,13,31,,Sad
4,4,8,30,45,4,8,8,21,30,,Anger
4,4,8,17,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,0.5,4,8,30,30,,Sad
0.5,8,13,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,13,30,4,4,8,13,45,,Happy
0.5,4,8,13,30,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,4,8,27,30,,Anger
4,4,8,13,30,4,4,10,13,30,,Happy
0.5,8,13,13,45,0.5,8,8,30,30,,Anger
0.5,8,13,13,45,4,4,13,13,45,,Neutral
4,8,13,13,45,4,8,13,13,45,,Neutral
4,4,13,18,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,3,8,13,30,45,,Anger
0.5,8,11,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
2,8,13,13,45,4,8,13,30,30,,Anger
4,4,8,30,30,4,8,8,30,30,,Anger
4,8,8,30,30,4,8,13,30,30,,Anger
4,8,12,27,30,3,4,13,14,30,,Sad
4,4,8,30,30,0.5,8,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,21,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,30,45,,Anger
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,4,8,8,13,45,,Anger
0.5,8,13,13,45,0.5,4,8,13,30,,Sad
4,8,13,30,30,0.5,8,8,21,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,8,8,30,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,4,8,13,30,37,,Anger
4,8,13,30,30,0.5,8,13,30,30,,Sad
0.5,4,13,13,30,4,4,13,13,30,,Neutral
4,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,13,26,30,4,8,8,13,30,,Anger
4,8,13,30,30,4,8,8,13,30,,Sad
4,8,13,30,30,4,8,13,30,30,,Sad
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
4,8,13,14,30,4,8,13,13,30,,Neutral
4,4,8,30,30,4,4,13,13,34,,Anger
0.5,4,13,13,45,4,8,13,13,30,,Neutral
4,8,13,30,45,0.5,8,8,30,30,,Sad
0.5,8,8,13,30,0.5,8,8,13,45,,Happy
0.5,4,8,13,30,0.5,4,9,13,30,,Anger
4,4,8,30,45,0.5,8,13,30,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,4,8,30,30,4,4,13,30,45,,Anger
0.5,8,13,13,30,4,4,8,13,30,,Happy
3,8,13,23,45,4,4,8,13,35,,Anger
4,8,8,30,45,4,8,13,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,41,0.5,4,13,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
4,4,13,13,30,4,8,13,13,30,,Neutral
4,4,8,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,45,4,8,8,30,30,,Happy
4,8,13,30,30,3,4,11,19,30,,Sad
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,13,30,45,,Anger
2,8,13,13,32,0.5,8,13,30,33,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,27,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,13,13,30,,Anger
0.5,4,8,13,30,4,8,13,30,37,,Anger
0.5,8,13,13,30,0.5,8,8,14,30,,Anger
0.5,4,8,13,40,4,4,8,13,30,,Happy
4,8,8,15,45,4,8,8,13,45,,Anger
0.5,4,8,13,30,4,4,8,30,45,,Anger
4,4,8,30,45,4,4,13,13,30,,Anger
4,8,13,14,30,4,8,13,24,45,,Anger
4,8,13,13,30,0.5,8,13,13,30,,Neutral
2,8,13,13,30,0.5,8,13,30,40,,Anger
0.5,8,13,13,30,0.5,4,13,30,45,,Sad
0.5,4,8,13,30,4,8,8,30,45,,Anger
0.5,4,8,13,45,0.5,8,8,30,45,,Anger
0.5,8,13,13,30,4,8,13,30,31,,Happy
0.5,4,8,17,30,4,8,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,8,13,13,45,,Neutral
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,45,0.5,8,13,13,45,,Neutral
0.5,8,13,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,45,0.5,4,13,13,30,,Happy
4,8,13,13,33,4,8,13,13,30,,Neutral
0.5,8,13,13,33,0.5,4,13,13,35,,Neutral
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,8,13,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,13,30,0.5,4,8,13,45,,Anger
0.5,4,8,13,30,0.5,8,8,26,34,,Anger
4,4,8,30,39,0.5,8,13,30,30,,Anger
0.5,8,13,13,43,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,0.5,8,13,30,45,,Anger
0.5,4,13,13,30,0.5,8,13,13,45,,Neutral
4,4,8,29,30,0.5,4,8,13,45,,Anger
0.5,4,13,13,30,4,4,8,13,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,4,10,13,30,0.5,4,8,30,30,,Sad
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
0.5,8,13,13,30,4,8,13,30,45,,Anger
4,7,8,30,30,4,4,8,13,30,,Anger
4,8,13,30,30,4,8,13,13,31,,Sad
0.5,4,8,13,30,0.5,8,8,30,30,,Anger
4,4,8,30,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,4,4,8,13,30,,Happy
4,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
0.5,8,13,13,45,4,4,8,13,34,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,8,13,30,0.5,4,8,18,30,,Anger
2,8,13,13,30,4,8,8,30,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,45,,Neutral
4,8,13,30,30,0.5,4,13,21,34,,Anger
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,4,4,8,13,37,,Happy
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,8,30,30,,Happy
4,6,8,30,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,8,8,30,45,,Sad
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,8,30,30,,Happy
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
4,4,8,13,30,4,8,13,21,30,,Sad
4,4,8,19,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,4,8,13,13,30,,Happy
0.5,8,13,13,30,4,8,13,13,45,,Neutral
4,8,13,13,30,4,8,13,30,30,,Anger
0.5,8,13,13,45,4,4,13,13,32,,Neutral
0.5,4,8,13,30,0.5,8,13,30,34,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,0.5,4,13,30,30,,Anger
0.5,4,11,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,19,30,4,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,4,8,13,30,,Sad
4,4,8,23,30,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,39,4,4,13,13,30,,Neutral
4,8,13,13,39,4,5,13,13,37,,Neutral
4,8,13,30,45,4,4,8,13,45,,Anger
0.5,8,13,13,45,0.5,8,8,21,30,,Sad
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,13,13,30,,Anger
4,4,8,14,30,4,4,13,30,30,,Happy
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,4,8,22,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,16,30,,Anger
0.5,4,8,13,45,4,4,12,13,30,,Happy
4,4,11,13,30,2,8,8,30,30,,Sad
1,8,13,13,30,0.5,4,13,13,45,,Neutral
2,4,8,13,30,0.5,4,9,15,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,4,8,15,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,5,8,30,30,4,8,8,13,30,,Anger
1,8,13,13,45,4,4,13,30,45,,Sad
4,4,8,28,30,4,8,13,30,30,,Anger
4,8,13,30,45,4,8,13,20,30,,Anger
4,8,13,30,30,4,4,13,30,37,,Happy
4,8,13,30,45,4,4,13,13,30,,Sad
0.5,8,13,13,30,4,4,13,13,37,,Neutral
4,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,13,30,4,8,8,30,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,18,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,0.5,4,8,30,30,,Sad
4,8,13,25,30,0.5,8,13,19,30,,Sad
0.5,4,8,13,45,0.5,4,12,13,37,,Happy
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,4,7,13,13,30,,Anger
4,4,8,30,30,4,4,13,13,30,,Anger
4,4,8,30,30,0.5,8,13,30,30,,Anger
0.5,4,13,13,30,0.5,4,8,30,30,,Sad
0.5,4,13,30,30,0.5,4,8,13,30,,Sad
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,30,45,4,8,13,13,30,,Happy
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
4,4,8,26,30,0.5,4,13,13,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,40,4,4,8,13,30,,Happy
4,4,8,20,30,0.5,8,13,13,30,,Anger
0.5,4,8,13,30,4,4,13,13,45,,Sad
4,8,13,30,45,0.5,8,8,13,45,,Anger
0.5,8,13,13,43,0.5,4,8,13,30,,Sad
4,4,8,30,45,4,8,13,13,30,,Happy
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,8,13,30,30,0.5,8,13,30,45,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,4,8,8,30,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,8,13,30,4,8,13,13,45,,Happy
0.5,8,13,13,45,4,8,13,13,45,,Neutral
4,4,13,19,30,4,4,8,13,30,,Anger
4,8,13,30,39,4,8,8,30,30,,Happy
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,39,,Neutral
4,8,13,30,30,4,8,13,30,30,,Sad
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,8,13,13,30,4,4,8,30,30,,Happy
0.5,8,13,13,45,0.5,4,13,13,33,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
4,4,8,29,30,4,4,8,13,30,,Anger
4,4,13,30,45,0.5,4,13,13,30,,Sad
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,13,13,45,,Sad
4,4,8,25,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,8,13,22,30,0.5,8,13,16,37,,Sad
4,4,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,30,45,0.5,8,8,30,30,,Sad
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,6,8,13,45,4,8,8,27,33,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,19,30,4,4,13,13,30,,Happy
4,4,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,45,,Neutral
4,8,13,30,45,4,8,13,30,30,,Anger
4,4,8,30,30,4,8,13,30,45,,Anger
0.5,8,8,13,30,0.5,4,13,13,30,,Anger
4,8,13,13,30,4,4,13,13,30,,Neutral
4,4,13,30,45,0.5,7,13,29,30,,Sad
2,8,13,13,30,4,8,8,13,34,,Anger
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,8,13,21,30,,Sad
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,45,4,4,13,13,45,,Neutral
4,8,13,30,30,4,4,8,13,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,19,45,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,13,30,4,8,13,13,45,,Happy
0.5,4,8,13,45,4,4,8,30,30,,Anger
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,30,45,4,8,13,13,45,,Sad
4,8,13,13,30,4,4,9,13,30,,Anger
0.5,7,8,13,30,4,6,8,30,30,,Happy
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,45,4,8,13,30,30,,Anger
0.5,8,13,13,42,0.5,8,13,13,30,,Neutral
4,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,8,13,45,,Sad
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,8,13,30,30,4,4,8,13,30,,Sad
4,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,30,45,,Happy
4,4,8,30,45,0.5,8,8,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,7,8,30,45,4,8,8,13,30,,Happy
4,4,8,13,30,4,8,13,23,30,,Sad
2,8,13,13,30,0.5,8,13,30,40,,Anger
2,8,13,13,34,0.5,4,13,13,30,,Neutral
4,8,13,30,30,4,4,8,13,45,,Anger
0.5,4,8,13,43,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,30,30,4,4,13,13,45,,Anger
0.5,8,13,13,45,4,8,13,30,45,,Anger
4,4,8,29,30,0.5,4,13,30,45,,Anger
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,8,8,30,30,,Anger
0.5,8,13,13,45,0.5,8,8,13,30,,Sad
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,4,8,10,13,30,,Anger
4,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,13,32,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
4,8,13,30,30,0.5,4,8,30,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,11,30,30,0.5,4,8,13,30,,Sad
1,4,8,13,30,4,8,8,13,30,,Happy
0.5,4,8,13,42,0.5,4,8,30,30,,Anger
0.5,4,8,13,31,4,4,13,13,45,,Sad
0.5,8,13,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,45,4,8,8,13,45,,Happy
0.5,4,8,13,30,4,8,13,30,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,45,0.5,8,13,13,30,,Sad
4,4,8,29,45,4,4,8,13,45,,Anger
4,4,8,30,30,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,4,8,20,30,0.5,4,8,13,45,,Anger
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,8,13,30,34,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,6,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,25,30,0.5,8,13,30,30,,Anger
4,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,4,8,16,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,8,30,30,0.5,4,13,13,30,,Anger
4,8,13,30,45,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,1,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,8,30,45,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,14,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,45,4,4,13,13,30,,Happy
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
4,8,13,15,30,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,40,,Happy
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
4,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,8,13,45,,Sad
0.5,4,8,13,30,4,8,13,13,45,,Sad
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
4,8,12,13,45,4,5,13,13,30,,Sad
4,8,13,30,45,0.5,4,13,30,30,,Sad
0.5,8,13,13,30,4,4,8,13,30,,Happy
